lat,lon,tipo,nome
-15.7752949,-47.8901182,restaurant,Pastelaria Viçosa
-15.7753158,-47.8903196,post_office,Correios
-15.7753390,-47.8905235,restaurant,Esquina Mineira
-15.7838326,-47.8779768,fast_food,Burger King
-15.7838410,-47.8778107,restaurant,Hajimê
-15.8041871,-47.8856880,restaurant,Veloce
-15.8042542,-47.8855887,bank,Santander
-15.8044555,-47.8853058,restaurant,Buteco da Boa
-15.8044722,-47.8852709,cafe,Rappot
-15.8044955,-47.8852293,restaurant,Cozinha do Sabor Gourmet
-15.8045200,-47.8851878,cafe,Café do Ponto
-15.8045432,-47.8851489,restaurant,Severina
-15.8045716,-47.8851019,restaurant,Sabor Glacé
-15.8046232,-47.8850174,restaurant,Sushi Loko
-15.8047626,-47.8848230,restaurant,Ticiana Wener
-15.8048503,-47.8846875,cafe,Cristina Cafés
-15.8044122,-47.8857638,restaurant,Balada Mix
-15.8045368,-47.8855928,restaurant,Naturama Gourmet
-15.8047789,-47.8852247,restaurant,Mercadito
-15.8048199,-47.8851651,restaurant,Le Grand
-15.8048894,-47.8850712,restaurant,Green's Restaurante Natural
-15.8049232,-47.8850053,restaurant,Fogo de Lenha
-15.8037437,-47.8842680,atm,Caixa Econômica Federal
-15.8095069,-47.8850985,bar,Vegas
-15.8084115,-47.8860116,restaurant,Taikan
-15.8094380,-47.8851824,restaurant,Contê
-15.8087453,-47.8856119,restaurant,l'a pacific food
-15.8086017,-47.8857873,restaurant,Piauí
-15.7768131,-47.8783276,pharmacy,Drogasil
-15.7770538,-47.8778492,fast_food,Senhora Empada
-15.7766523,-47.8790789,restaurant,Les Maries
-15.7729922,-47.8766175,restaurant,Naturetto
-15.7756008,-47.8734623,restaurant,Dom Neres
-15.7835761,-47.8774185,restaurant,Tempero Mineiro
-15.7839122,-47.8777864,restaurant,Barão
-15.7831796,-47.8832286,restaurant,Moreno's Restaurante
-15.7831717,-47.8834145,cafe,Rosa's Café
-15.7831653,-47.8835046,restaurant,Pizzas do Rei
-15.7810692,-47.8856888,restaurant,Bom de Minas
-15.7811291,-47.8861396,restaurant,Melhor pizza do pedaço
-15.7806989,-47.8881207,school,Professor Filemon
-15.8095986,-47.8901962,bar,Versão Brasileira
-15.7877785,-47.8825380,bank,Bradesco
-15.7802532,-47.8879890,driving_school,Teka Auto Escola
-15.7798086,-47.8880099,veterinary,Prontovet
-15.7962275,-47.8901410,college,SENAC - Jessé Freire
-15.7986605,-47.8829039,fast_food,Subway
-15.7986386,-47.8830022,fast_food,Spoleto
-15.7988630,-47.8828714,restaurant,Mistura Fina
-15.7984411,-47.8829733,restaurant,Bliss
-15.8012388,-47.8837031,fast_food,Giraffas
-15.7995262,-47.8827678,bank,Banco do Brasil
-15.7976758,-47.8830171,bank,Banco de Brasília
-15.7988508,-47.8829258,restaurant,Vintage Gourmet
-15.7988301,-47.8829945,restaurant,Panelinhas do Brasil
-15.7984109,-47.8830813,restaurant,Kálice
-15.7985033,-47.8827441,restaurant,Baú Mineiro
-15.7985989,-47.8831360,restaurant,Capital Grill
-15.7771622,-47.8832623,fast_food,Frango no Pote
-15.7844891,-47.8880489,restaurant,Boa Saúde
-15.7836964,-47.8882823,restaurant,Careca
-15.7877449,-47.8826614,cafe,Art Café
-15.7870974,-47.8829126,language_school,Universa Idiomas
-15.7871193,-47.8828056,cafe,Tomilla Café
-15.7877036,-47.8827338,restaurant,Grã-finos
-15.7872233,-47.8827237,language_school,Wizard
-15.7831873,-47.8824050,restaurant,Flor de Lótus
-15.7873255,-47.8828911,cafe,Especiarias de Minas
-15.7839330,-47.8848583,cafe,Fran's Café
-15.7812333,-47.8881001,cafe,Cópia com Café
-15.7884793,-47.8827789,bank,Banco de Brasília
-15.7871242,-47.8841844,bank,Banco do Brasil
-15.8016049,-47.8823199,restaurant,Steak Grill
-15.7879296,-47.8915954,fast_food,Subway
-15.7767614,-47.8777108,bicycle_rental,CLN 204 L1 Norte
-15.8006335,-47.8941759,bicycle_rental,Santuário Dom Bosco
-15.8078945,-47.9008841,bicycle_rental,SQS 306 W3 Sul
-15.7982716,-47.8865444,pharmacy,Pacheco
-15.7988954,-47.8863635,restaurant,Cozinha e Café Brasil
-15.7986194,-47.8862933,bank,Banco Santander
-15.7971762,-47.8861225,restaurant,Alecrim
-15.7736441,-47.8767018,restaurant,Fulô do Sertão
-15.7729310,-47.8764393,ice_cream,Sorbê
-15.7736120,-47.8765470,cafe,Los Baristas
-15.7903318,-47.8847290,car_rental,Unidas
-15.7901370,-47.8849886,cafe,Chateau Brasil
-15.7901856,-47.8846900,restaurant,Tribally
-15.7890382,-47.8830933,car_rental,Localiza
-15.7907387,-47.8832682,restaurant,Brasil Vexado
-15.8013393,-47.8905166,restaurant,Sabor Brasil
-15.8012640,-47.8906446,pharmacy,Santa Marta
-15.7890404,-47.8832009,post_office,Correios
-15.7880104,-47.8892797,restaurant,Fatti a Mano
-15.7938924,-47.8833983,atm,Banco24Horas
-15.7769559,-47.8832890,fast_food,X Nonô
-15.7769432,-47.8831345,bar,Vila Esperança
-15.7748968,-47.8878773,atm,Banco24Horas
-15.7749408,-47.8878740,atm,Banco de Brasília
-15.7770128,-47.8837915,restaurant,Confraria Chico Mineiro
-15.7774947,-47.8839409,restaurant,Berimbau Brasil
-15.7769742,-47.8834380,arts_centre,Oficina de Arte
-15.7770087,-47.8840073,cafe,Chico Mineiro Confeitaria e Café
-15.7755113,-47.8886254,car_rental,Quasar Rent a Car
-15.7871769,-47.8895397,restaurant,Mercado 153
-15.7863988,-47.8898730,fast_food,Mônica Lanches
-15.7832021,-47.8827588,arts_centre,Cursos de Artes
-15.7882205,-47.8824733,fast_food,Fruta é Saúde
-15.7875936,-47.8824956,theatre,IEL Estágio
-15.7852225,-47.8848246,clinic,Laboratório Pasteur
-15.7855058,-47.8831323,food_court,Lanchonete Pimenta de Cheiro
-15.7810153,-47.8846428,school,Magister
-15.7805415,-47.8847381,fast_food,Nutrifresh
-15.7858449,-47.8821804,fast_food,Quiosque da Rosa
-15.7858183,-47.8824259,toilets,Sanitário Público
-15.7884050,-47.8824799,taxi,Sinpetaxi
-15.7889015,-47.8824042,fast_food,Tapiocaria do Serrado
-15.7746238,-47.8856309,cafe,Café Sarah Kubitscheck
-15.7746892,-47.8863617,pharmacy,Drogaria Maia
-15.7743173,-47.8855726,fast_food,Fast Açaí
-15.7743365,-47.8857909,prep_school,Kumon
-15.7743051,-47.8868762,fast_food,Lanchonete 305 Norte
-15.7749916,-47.8872002,taxi,Ponto de Taxi
-15.7882958,-47.8834546,fast_food,Lanches
-15.8036991,-47.8680817,bank,Banco do Brasil
-15.8089987,-47.9015432,fast_food,Vitamina Central
-15.8097643,-47.9078076,cafe,Le Jardin
-15.7765875,-47.8777892,restaurant,Pimenta de Cheiro
-15.7735165,-47.8767302,pub,Bar do Zezé
-15.7735297,-47.8758263,pub,Bar do Alfredo
-15.7731319,-47.8764826,veterinary,Pet Gree
-15.8010115,-47.8680941,bank,Banco do Brasil
-15.8010605,-47.8679519,bank,Caixa Econômica Federal
-15.8012308,-47.8678259,post_office,Correios
-15.8098559,-47.9024041,bank,Itaú
-15.7763398,-47.8883207,school,Cultura Inglesa
-15.8075346,-47.8974890,restaurant,Zimbrus
-15.8080742,-47.8964601,pharmacy,Drogaria Pacheco
-15.7865650,-47.8888328,cafe,Fran's Café
-15.7866114,-47.8890018,cafe,Martinica
-15.7867043,-47.8891654,fast_food,McDonald's
-15.7862991,-47.8893236,bank,Caixa Econômica Federal
-15.7864359,-47.8889830,fast_food,Marvin America Burger
-15.7862965,-47.8889669,fast_food,Subway
-15.7864720,-47.8890474,fast_food,Giraffas
-15.7864772,-47.8891252,restaurant,Koni Store
-15.7868850,-47.8893961,bank,Banco do Brasil
-15.7869134,-47.8891037,pharmacy,Drogasil
-15.7862278,-47.8891941,theatre,Teatro Brasília Shopping
-15.7872127,-47.8841286,restaurant,Grande Muralha
-15.7871869,-47.8840682,cafe,Grande Café
-15.7865237,-47.8844880,pharmacy,DrogaFuji
